USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
polkitd      658  0.0  0.2 384080  8460 ?        Ssl  Oct26   0:01 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         663  0.0  0.2  19580  8324 ?        Ss   Oct26   0:00 /usr/lib/systemd/systemd-logind
root         788  0.0  0.4 341012 16360 ?        Ssl  Oct26   0:00 /usr/sbin/NetworkManager --no-daemon
root         798  0.0  0.1 324556  7480 ?        Ssl  Oct26   0:00 /usr/sbin/ModemManager
root         822  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u13:1]
root         823  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u13:2-ttm]
root         829  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-rpciod]
root         830  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-xprtiod]
root         832  0.0  0.0   6968  2540 ?        Ss   Oct26   0:00 /usr/sbin/cron -f
root         835  0.0  0.1 382012  5668 ?        SLsl Oct26   0:00 /usr/sbin/lightdm
root         845  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u12:1-ttm]
root         846  1.0  3.3 792988 135916 tty7    Ssl+ Oct26  12:59 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         848  0.0  0.0   7712  1900 tty1     Ss+  Oct26   0:00 /sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d - linux
rtkit        903  0.0  0.0  21240  2656 ?        SNsl Oct26   0:00 /usr/libexec/rtkit-daemon
root         969  0.0  0.1 173960  6344 ?        Sl   Oct26   0:00 lightdm --session-child 13 24
dinnie       999  0.0  0.2  23180 11524 ?        Ss   Oct26   0:00 /usr/lib/systemd/systemd --user
dinnie      1001  0.0  0.0  25620  2492 ?        S    Oct26   0:00 (sd-pam)
dinnie      1022  0.0  0.1   9948  5424 ?        Ss   Oct26   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
dinnie      1023  0.0  0.1 104276  6620 ?        S<sl Oct26   0:00 /usr/bin/pipewire
dinnie      1025  0.0  0.0  85200  3112 ?        Ssl  Oct26   0:00 /usr/bin/pipewire -c filter-chain.conf
dinnie      1026  0.0  0.2 184140  8096 ?        SLsl Oct26   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
dinnie      1027  0.0  0.0   7152  3028 ?        Ss   Oct26   0:00 /usr/bin/mpris-proxy
dinnie      1028  0.0  0.3 486160 12312 ?        S<sl Oct26   0:00 /usr/bin/wireplumber
dinnie      1029  0.0  0.1 101496  7444 ?        S<sl Oct26   0:00 /usr/bin/pipewire-pulse
dinnie      1040  0.0  0.7 428488 28604 ?        Ssl  Oct26   0:01 xfce4-session
dinnie      1122  0.0  0.1 382660  6672 ?        Ssl  Oct26   0:00 /usr/libexec/at-spi-bus-launcher
